year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,517,515,2,830,819,11,UA,1545,N14228,EWR,IAH,227,1400,5,15,2013-01-01T10:00:00Z
2013,1,1,635,635,0,1028,940,48,AA,711,N3GKAA,LGA,DFW,248,1389,6,35,2013-01-01T11:00:00Z
2013,1,1,732,645,47,1011,941,30,UA,1111,N37456,EWR,MCO,145,937,6,45,2013-01-01T11:00:00Z
2013,1,1,805,805,0,1015,1005,10,B6,219,N273JB,JFK,CLT,98,541,8,5,2013-01-01T13:00:00Z
2013,1,1,824,830,-6,1027,1025,2,AA,1855,N573AA,LGA,STL,169,888,8,30,2013-01-01T13:00:00Z
2013,1,1,840,845,-5,1053,1102,-9,DL,2304,N926DL,JFK,DTW,108,509,8,45,2013-01-01T13:00:00Z
2013,1,1,856,855,1,1140,1203,-23,UA,1296,N75426,EWR,PBI,150,1023,8,55,2013-01-01T13:00:00Z
2013,1,1,908,910,-2,1020,1027,-7,B6,56,N203JB,JFK,BTV,52,266,9,10,2013-01-01T14:00:00Z
2013,1,1,926,928,-2,1233,1220,13,UA,1597,N27733,EWR,EGE,287,1726,9,28,2013-01-01T14:00:00Z
2013,1,1,1120,1125,-5,1330,1325,5,WN,1057,N469WN,LGA,STL,176,888,11,25,2013-01-01T16:00:00Z
2013,1,1,1240,1245,-5,1554,1600,-6,AA,2253,N3BUAA,LGA,MIA,156,1096,12,45,2013-01-01T17:00:00Z
2013,1,1,1330,1321,9,1613,1536,37,EV,3849,N14558,EWR,IND,149,645,13,21,2013-01-01T18:00:00Z
2013,1,1,1419,1420,-1,1557,1550,7,MQ,3728,N500MQ,EWR,ORD,136,719,14,20,2013-01-01T19:00:00Z
2013,1,1,1439,1445,-6,1558,1613,-15,DL,1972,N319NB,JFK,DCA,56,213,14,45,2013-01-01T19:00:00Z
2013,1,1,1459,1501,-2,1651,1651,0,EV,5675,N15572,EWR,CMH,96,463,15,1,2013-01-01T20:00:00Z
2013,1,1,1506,1512,-6,1723,1741,-18,UA,407,N513UA,LGA,DEN,237,1620,15,12,2013-01-01T20:00:00Z
2013,1,1,1539,1537,2,1854,1819,35,UA,1222,N14250,EWR,LAS,342,2227,15,37,2013-01-01T20:00:00Z
2013,1,1,1557,1600,-3,1910,1939,-29,DL,1508,N955DL,JFK,RSW,171,1074,16,0,2013-01-01T21:00:00Z
2013,1,1,1711,1650,21,1820,1806,14,EV,4194,N15986,EWR,BTV,48,266,16,50,2013-01-01T21:00:00Z
